,year,month,type,city,average_price,category_vol
0,2015,January,conventional,Albany,1.22,medium
1,2015,January,organic,Albany,1.79,small
2,2015,January,conventional,Atlanta,1.0,wholesale
3,2015,January,organic,Atlanta,1.76,small
4,2015,January,conventional,Baltimore/Washington,1.08,wholesale
5,2015,January,organic,Baltimore/Washington,1.29,medium
6,2015,January,conventional,Boise,1.01,medium
7,2015,January,organic,Boise,1.64,small
8,2015,January,conventional,Boston,1.02,wholesale
9,2015,January,organic,Boston,1.83,small
10,2015,January,conventional,Buffalo/Rochester,1.4,large
11,2015,January,organic,Buffalo/Rochester,1.73,small
12,2015,January,conventional,California,0.93,wholesale
13,2015,January,organic,California,1.24,large
14,2015,January,conventional,Charlotte,1.19,large
15,2015,January,organic,Charlotte,2.13,small
16,2015,January,conventional,Chicago,1.11,wholesale
17,2015,January,organic,Chicago,1.49,medium
18,2015,January,conventional,Cincinnati/Dayton,0.88,large
19,2015,January,organic,Cincinnati/Dayton,1.34,small
20,2015,January,conventional,Columbus,0.89,large
21,2015,January,organic,Columbus,1.44,small
22,2015,January,conventional,Dallas/Ft. Worth,0.74,wholesale
23,2015,January,organic,Dallas/Ft. Worth,1.35,small
24,2015,January,conventional,Denver,0.99,wholesale
25,2015,January,organic,Denver,1.42,medium
26,2015,January,conventional,Detroit,1.01,large
27,2015,January,organic,Detroit,1.7,small
28,2015,January,conventional,Grand Rapids,0.95,large
29,2015,January,organic,Grand Rapids,1.6,small
30,2015,January,conventional,Great Lakes,1.02,wholesale
31,2015,January,organic,Great Lakes,1.54,medium
32,2015,January,conventional,Harrisburg/Scranton,1.05,large
33,2015,January,organic,Harrisburg/Scranton,1.68,small
34,2015,January,conventional,Hartford/Springfield,1.06,large
35,2015,January,organic,Hartford/Springfield,2.32,small
36,2015,January,conventional,Houston,0.71,wholesale
37,2015,January,organic,Houston,1.22,small
38,2015,January,conventional,Indianapolis,1.02,large
39,2015,January,organic,Indianapolis,1.63,small
40,2015,January,conventional,Jacksonville,0.97,large
41,2015,January,organic,Jacksonville,1.81,small
